UP,Fazenda,Transportadora,Dia,DB,RSP,Quantidade,Volume
S6C298,FORTALEZA,Tover,1,1.6221749557422769,1.4614982511360184,12.0,1425.6000000000001
S3AX06,INDIANA II,Pastori,1,1.5502069140812391,1.4614982511360184,0.98161154,116.61545095199999
S5AW05,PIRACEMA_GLEBA PULADOR - DX,Pastori,1,1.44,1.4614982511360184,1.321689,157.0166532
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Rampazo,1,1.3785303023915199,1.4614982511360184,19.0,2257.2000000000003
S5AK09,TURVO III (LEX),Pastori,1,1.513739550085731,1.4614982511360184,22.696699,2696.3678412
S6C297,FORTALEZA,Tover,2,1.3673991120765037,1.4614982511360184,4.619895,548.843526
S3AX06,INDIANA II,Pastori,2,1.5502069140812391,1.4614982511360184,25.0,2970.0
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Rampazo,2,1.4101627217065384,1.4614982511360184,16.454149,1954.7529012
S6BG12,SINIMBU,Tover,2,1.5321403213808318,1.4614982511360184,7.380105,876.7564740000001
S5AK08,TURVO III (LEX),Rampazo,2,1.515093704135877,1.4614982511360184,2.5458512,302.44712256
S6C335,FORTALEZA,Tover,3,1.5198740867952,1.4614982511360184,12.0,1425.6000000000001
S3AX02,INDIANA II,Pastori,3,1.5401280319753075,1.4614982511360184,7.1253367,846.48999996
S3AX03,INDIANA II,Rampazo,3,1.3022261539839008,1.4614982511360184,3.6120499,429.11152812
S5AW05,PIRACEMA_GLEBA PULADOR - DX,Rampazo,3,1.44,1.4614982511360184,15.38795,1828.08846
S5AK08,TURVO III (LEX),Pastori,3,1.515093704135877,1.4614982511360184,17.874663,2123.5099644000006
S5AW05,PIRACEMA_GLEBA PULADOR - DX,Rampazo,4,1.44,1.4614982511360184,7.3628916,874.71152208
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Rampazo,4,1.3785303023915199,1.4614982511360184,11.54871,1371.986748
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Pastori,4,1.3785303023915199,1.4614982511360184,25.0,2970.0
S6BX01,SANTO ANTONIO SALIG.,Tover,4,1.44,1.4614982511360184,12.0,1425.6000000000001
S5AK08,TURVO III (LEX),Rampazo,4,1.515093704135877,1.4614982511360184,0.088398299,10.501717921200001
S6C297,FORTALEZA,Tover,5,1.3673991120765037,1.4614982511360184,4.2067043,499.75647084
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Rampazo,5,1.4101627217065384,1.4614982511360184,1.6438957,195.29480916
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Rampazo,5,1.3785303023915199,1.4614982511360184,17.356104,2061.9051552
S5AW14,PIRACEMA_GLEBA PULADOR - DX,Pastori,5,1.3785303023915199,1.4614982511360184,25.0,2970.0
S6BG12,SINIMBU,Tover,5,1.5321403213808318,1.4614982511360184,7.7932957,925.84352916
S6C335,FORTALEZA,Tover,6,1.5198740867952,1.4614982511360184,12.0,1425.6000000000001
S3AX06,INDIANA II,Rampazo,6,1.5502069140812391,1.4614982511360184,19.0,2257.2000000000003
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Pastori,6,1.4101627217065384,1.4614982511360184,25.0,2970.0
S3AX06,INDIANA II,Rampazo,7,1.5502069140812391,1.4614982511360184,8.8765993,1054.5399968400002
S3AX01,INDIANA II,Rampazo,7,1.546496658710454,1.4614982511360184,10.123401,1202.6600388
S3AX04,INDIANA II,Pastori,7,1.511823288806421,1.4614982511360184,10.942761,1300.0000068000002
S3AX03,INDIANA II,Pastori,7,1.3022261539839008,1.4614982511360184,11.813939,1403.4959532
S5AW13,PIRACEMA_GLEBA PULADOR - DX,Pastori,7,1.4101627217065384,1.4614982511360184,2.2433001,266.50405187999996
S6C421,SIRIEMA,Tover,7,1.28900273285943,1.4614982511360184,12.0,1425.6000000000001
